Epoch,loss,mse,val_loss,val_mse
0,0.1063,0.01732,0.05758,0.00456
1,0.04445,0.00248,0.05374,0.00286
2,0.04101,0.00197,0.04252,0.00188
3,0.03918,0.00162,0.04244,0.00181
4,0.03837,0.00144,0.04123,0.00158
5,0.03836,0.00142,0.04341,0.00207
6,0.03814,0.00141,0.0404,0.00141
7,0.03735,0.0012,0.03992,0.00128
8,0.03719,0.00116,0.04002,0.00133
9,0.03709,0.00113,0.0399,0.00128
10,0.03705,0.00111,0.03955,0.00118
11,0.03831,0.00136,0.04587,0.00287
12,0.03731,0.0012,0.03997,0.0013
13,0.03675,0.00104,0.03962,0.0012
14,0.03674,0.00103,0.03952,0.00117
15,0.03676,0.00104,0.03947,0.00112
16,0.03645,0.00096,0.03924,0.00108
17,0.03635,0.00092,0.04262,0.00173
18,0.03703,0.00111,0.03986,0.0012
19,0.03643,0.00095,0.03935,0.00111
20,0.03621,0.00089,0.0392,0.00106
21,0.03612,0.00086,0.03917,0.00105
22,0.03718,0.0011,0.04162,0.0015
23,0.03635,0.00092,0.03922,0.00108
24,0.03615,0.00086,0.03924,0.00106
25,0.03604,0.00083,0.03913,0.00105
26,0.03589,0.00079,0.03914,0.00104
27,0.03594,0.0008,0.03913,0.00104
28,0.03583,0.00077,0.03905,0.00101
29,0.03577,0.00075,0.03918,0.00102
30,0.03579,0.00075,0.03916,0.00104
31,0.03742,0.00112,0.03941,0.00112
32,0.03635,0.00091,0.03934,0.00108
33,0.0359,0.00078,0.03903,0.00101
34,0.03575,0.00074,0.03901,0.00101
35,0.0359,0.00078,0.03915,0.00104
36,0.03664,0.00096,0.04046,0.00124
37,0.03592,0.00079,0.03913,0.00104
38,0.0357,0.00073,0.039,0.00101
39,0.0356,0.00069,0.03891,0.00097
40,0.03553,0.00067,0.03899,0.00098
41,0.03549,0.00066,0.03917,0.00101
42,0.03548,0.00066,0.03911,0.00101
43,0.03541,0.00063,0.03903,0.00102
44,0.03633,0.00088,0.04373,0.0015
45,0.03588,0.00078,0.03912,0.00104
46,0.03554,0.00068,0.03899,0.00099
47,0.03544,0.00064,0.03902,0.00099
48,0.03532,0.0006,0.03895,0.00098
49,0.03528,0.00059,0.03902,0.00097
