Epoch,loss,mse,dice_coefficient,val_loss,val_mse,val_dice_coefficient
0,0.80458,0.01634,0.26516,0.58693,0.00168,0.42395
1,0.43928,0.00165,0.57247,0.48731,0.00164,0.52582
2,0.4112,0.00156,0.60063,0.42533,0.00178,0.5876
3,0.38876,0.00149,0.62273,0.4089,0.0018,0.60453
4,0.38306,0.00146,0.62835,0.56261,0.00178,0.45454
5,0.37292,0.00143,0.63829,0.42372,0.00152,0.58823
6,0.36246,0.00139,0.64826,0.39342,0.00162,0.61927
7,0.35364,0.00136,0.65676,0.40045,0.00161,0.61274
8,0.3496,0.00134,0.66086,0.3736,0.00148,0.63766
9,0.34512,0.00133,0.66513,0.37417,0.00144,0.63651
10,0.33449,0.00129,0.67537,0.38225,0.00152,0.62997
11,0.33204,0.00127,0.6777,0.39634,0.00145,0.61572
12,0.32847,0.00126,0.68135,0.41851,0.00158,0.59299
13,0.32989,0.00125,0.67979,0.37597,0.00145,0.63585
14,0.31071,0.00119,0.69839,0.37234,0.00157,0.63995
15,0.30329,0.00116,0.70566,0.37688,0.00147,0.63576
16,0.30089,0.00115,0.70801,0.37888,0.00148,0.63264
17,0.29673,0.00113,0.71216,0.36059,0.00145,0.65082
18,0.29157,0.00111,0.71701,0.3686,0.00141,0.6424
19,0.28957,0.00111,0.71898,0.37434,0.00149,0.63751
20,0.28715,0.00109,0.72117,0.38029,0.00151,0.63051
21,0.28172,0.00108,0.7265,0.37382,0.00145,0.63703
22,0.2723,0.00104,0.7356,0.36967,0.00144,0.64201
23,0.26455,0.00101,0.74308,0.3767,0.00147,0.63469
24,0.25732,0.00098,0.7501,0.35951,0.00149,0.65242
25,0.25492,0.00098,0.75243,0.37581,0.00143,0.63574
26,0.258,0.00099,0.74952,0.36989,0.00154,0.64221
27,0.24761,0.00095,0.75951,0.37642,0.00154,0.63612
28,0.25353,0.00096,0.75374,0.3792,0.00145,0.63204
29,0.23833,0.0009,0.76847,0.36757,0.00148,0.64402
30,0.23492,0.0009,0.77188,0.38631,0.00153,0.62579
31,0.24859,0.00095,0.75845,0.43723,0.00163,0.57519
32,0.23974,0.00092,0.76706,0.38984,0.00147,0.62233
33,0.22595,0.00086,0.78032,0.37537,0.0015,0.63671
34,0.22313,0.00085,0.78318,0.36686,0.00146,0.64477
