Epoch,loss,mse,val_loss,val_mse
0,0.12112,0.0219,0.12565,0.01092
1,0.05303,0.00462,0.04983,0.00411
2,0.04996,0.00406,0.04897,0.00389
3,0.04856,0.00375,0.04789,0.0036
4,0.04772,0.00356,0.04775,0.00343
5,0.04708,0.0034,0.04661,0.00339
6,0.04688,0.00333,0.15852,0.01752
7,0.04728,0.00344,0.04582,0.00316
8,0.0459,0.0031,0.04578,0.00315
9,0.0459,0.00309,0.0462,0.00323
10,0.04548,0.00299,0.05078,0.0039
11,0.04672,0.00328,0.04694,0.00331
12,0.04551,0.00298,0.0458,0.00307
13,0.04476,0.00279,0.04506,0.00293
14,0.04453,0.00272,0.04491,0.00289
15,0.04451,0.00272,0.04545,0.00306
16,0.04421,0.00264,0.04488,0.00286
17,0.04403,0.00258,0.04508,0.00291
18,0.04402,0.00257,0.04493,0.0029
19,0.04381,0.00252,0.04516,0.00287
20,0.04518,0.00282,0.11207,0.01037
21,0.04629,0.00315,0.04601,0.00306
22,0.04423,0.00263,0.04481,0.00283
23,0.04373,0.00249,0.045,0.00287
24,0.04354,0.00243,0.04477,0.00286
25,0.04329,0.00236,0.04498,0.00283
26,0.04311,0.00231,0.04488,0.00281
27,0.04308,0.0023,0.04463,0.00281
28,0.04278,0.00221,0.04526,0.0029
29,0.04278,0.00222,0.04572,0.00287
30,0.0426,0.00216,0.0446,0.00276
31,0.04309,0.00227,0.04522,0.00289
32,0.04254,0.00214,0.04475,0.0028
33,0.04218,0.00203,0.04464,0.00278
34,0.04213,0.00201,0.04535,0.00282
35,0.04195,0.00196,0.04561,0.00285
36,0.04188,0.00193,0.04519,0.00283
37,0.04188,0.00193,0.04559,0.00283
38,0.0415,0.00181,0.0452,0.00285
39,0.04175,0.00189,0.0456,0.00295
40,0.04166,0.00186,0.04501,0.00288
